,Gesture,Handedness,Landmarks
0,Open,Left,"[(0.5831781625747681, 0.5072979927062988, 1.870413370852475e-07), (0.5598586201667786, 0.47932690382003784, -0.009319116361439228), (0.5422697067260742, 0.4397137463092804, -0.015524433925747871), (0.5292386412620544, 0.40907007455825806, -0.021248038858175278), (0.5170170664787292, 0.3876901865005493, -0.027267247438430786), (0.5742806196212769, 0.39569467306137085, -0.012006602250039577), (0.5713555812835693, 0.34895065426826477, -0.02126285433769226), (0.5691269636154175, 0.3203832507133484, -0.028365397825837135), (0.5682922601699829, 0.2959930896759033, -0.0337715782225132), (0.5938578248023987, 0.3972477614879608, -0.01527000404894352), (0.6018381118774414, 0.3471820652484894, -0.02338862419128418), (0.6069722771644592, 0.3158664107322693, -0.030025664716959), (0.6106114387512207, 0.2902005910873413, -0.03506775572896004), (0.6097995638847351, 0.4098353385925293, -0.01986069604754448), (0.6272772550582886, 0.36928829550743103, -0.029356123879551888), (0.6376005411148071, 0.3424890339374542, -0.0355541817843914), (0.6448102593421936, 0.31864941120147705, -0.03987725079059601), (0.6224368810653687, 0.42938634753227234, -0.025076143443584442), (0.6422343850135803, 0.4022214412689209, -0.03353973478078842), (0.6538476943969727, 0.3828076124191284, -0.03667197749018669), (0.6625964045524597, 0.3636868894100189, -0.03880791738629341)]"
1,Open,Left,"[(0.5822930335998535, 0.5049409866333008, 2.0332845451775938e-07), (0.5587331056594849, 0.4759645462036133, -0.010351044125854969), (0.541029691696167, 0.4366808235645294, -0.016859939321875572), (0.5279338359832764, 0.40583160519599915, -0.022760141640901566), (0.5152517557144165, 0.3846973776817322, -0.02889925427734852), (0.5726060271263123, 0.3943435251712799, -0.013131883926689625), (0.5693853497505188, 0.3461668789386749, -0.02330225147306919), (0.566752552986145, 0.3166870176792145, -0.030873745679855347), (0.5657491087913513, 0.29144513607025146, -0.03640848398208618), (0.5915936827659607, 0.3950483500957489, -0.015805786475539207), (0.5993800163269043, 0.34468355774879456, -0.024620546028017998), (0.6044518947601318, 0.31218743324279785, -0.0314553901553154), (0.6086908578872681, 0.2857136130332947, -0.036583464592695236), (0.6074221730232239, 0.4061090648174286, -0.019955679774284363), (0.6246899366378784, 0.36582034826278687, -0.02978702448308468), (0.6350075602531433, 0.33879122138023376, -0.03596924617886543), (0.6425168514251709, 0.31570544838905334, -0.040173228830099106), (0.6203883290290833, 0.4240497648715973, -0.02493109740316868), (0.6398677825927734, 0.39626428484916687, -0.03345859795808792), (0.6512845754623413, 0.37658756971359253, -0.03673357516527176), (0.6601163148880005, 0.3577742576599121, -0.03894815221428871)]"
2,Open,Left,"[(0.5824075937271118, 0.500379204750061, 2.038388657865653e-07), (0.5584765076637268, 0.4714314937591553, -0.009589598514139652), (0.5414006114006042, 0.4318843185901642, -0.015423627570271492), (0.5294210314750671, 0.40056174993515015, -0.020826391875743866), (0.5170280933380127, 0.3798586428165436, -0.026486478745937347), (0.5734521746635437, 0.3882889449596405, -0.01115092821419239), (0.5704920291900635, 0.34112709760665894, -0.020456083118915558), (0.5680080652236938, 0.3126130700111389, -0.027699563652276993), (0.5668894648551941, 0.28813087940216064, -0.033119332045316696), (0.592548131942749, 0.38982564210891724, -0.014250494539737701), (0.6005064845085144, 0.3397830128669739, -0.02229536511003971), (0.6053900718688965, 0.30819568037986755, -0.02903531864285469), (0.6093956232070923, 0.282274454832077, -0.03414255753159523), (0.6083338260650635, 0.4014865458011627, -0.018830586224794388), (0.6254923939704895, 0.3614610433578491, -0.028072895482182503), (0.635246992111206, 0.3349090814590454, -0.03420398011803627), (0.6423273086547852, 0.3117852509021759, -0.038483187556266785), (0.6209778189659119, 0.42000624537467957, -0.024220969527959824), (0.640113353729248, 0.3926929533481598, -0.03245599567890167), (0.6511877179145813, 0.37333792448043823, -0.03565347567200661), (0.6599969267845154, 0.3545394241809845, -0.03783062472939491)]"
3,Open,Left,"[(0.5875841975212097, 0.49445393681526184, 1.9447125509941543e-07), (0.5649353265762329, 0.46529632806777954, -0.009262065403163433), (0.5482869148254395, 0.4260654151439667, -0.015190741047263145), (0.5364620089530945, 0.39548978209495544, -0.020779423415660858), (0.5232985019683838, 0.37510445713996887, -0.026635978370904922), (0.5792402029037476, 0.3813636898994446, -0.01088604237884283), (0.5756394267082214, 0.3345641493797302, -0.02024931274354458), (0.5730888247489929, 0.3066546618938446, -0.027461230754852295), (0.5720122456550598, 0.28234440088272095, -0.03281126171350479), (0.5985695123672485, 0.38329318165779114, -0.014354942366480827), (0.6058641076087952, 0.33402931690216064, -0.022597283124923706), (0.610550045967102, 0.30250781774520874, -0.02950231172144413), (0.6143739223480225, 0.2762720286846161, -0.034674160182476044), (0.6143444180488586, 0.39547958970069885, -0.019280947744846344), (0.6320003867149353, 0.3562546968460083, -0.028901653364300728), (0.642094075679779, 0.3297462463378906, -0.03506910055875778), (0.6492540836334229, 0.3064720332622528, -0.03922000527381897), (0.626509964466095, 0.4144406318664551, -0.024929312989115715), (0.6453486680984497, 0.38622167706489563, -0.03315306827425957), (0.6563559174537659, 0.366491436958313, -0.03601289168000221), (0.6648913025856018, 0.34734272956848145, -0.037928514182567596)]"
4,Open,Left,"[(0.5875959396362305, 0.49518293142318726, 1.8470457519015326e-07), (0.5648536086082458, 0.4664026200771332, -0.009306920692324638), (0.5484673976898193, 0.42697376012802124, -0.015107603743672371), (0.5363469123840332, 0.3960398733615875, -0.020546812564134598), (0.523405134677887, 0.3754427433013916, -0.026245011016726494), (0.5796446204185486, 0.3817201852798462, -0.010469043627381325), (0.5760664939880371, 0.3351045846939087, -0.01972784660756588), (0.5734829306602478, 0.3065369129180908, -0.027013374492526054), (0.5722777247428894, 0.2818032503128052, -0.032504934817552567), (0.5985936522483826, 0.38333457708358765, -0.013845469802618027), (0.6060266494750977, 0.33407214283943176, -0.021993355825543404), (0.6108002662658691, 0.3027034401893616, -0.028859339654445648), (0.6144169569015503, 0.2768542766571045, -0.03404603525996208), (0.6141184568405151, 0.3952479064464569, -0.018722455948591232), (0.631547212600708, 0.35588014125823975, -0.02823824994266033), (0.6416854858398438, 0.3283938765525818, -0.03459950163960457), (0.648853600025177, 0.3041396737098694, -0.03899962827563286), (0.6260744333267212, 0.41395750641822815, -0.02433486096560955), (0.6449405550956726, 0.3857332468032837, -0.03250346705317497), (0.656147837638855, 0.3659707009792328, -0.03559303656220436), (0.6647986769676208, 0.3466969132423401, -0.03778708353638649)]"
5,Open,Left,"[(0.5948691368103027, 0.49407124519348145, 1.9156657060648286e-07), (0.5711038708686829, 0.46621468663215637, -0.008410823531448841), (0.5544800162315369, 0.4277254343032837, -0.013681015931069851), (0.5419923067092896, 0.3969265818595886, -0.018655002117156982), (0.5281860828399658, 0.3770267367362976, -0.02386379987001419), (0.5843318104743958, 0.38226526975631714, -0.010108535178005695), (0.5807424187660217, 0.3351243734359741, -0.01866283267736435), (0.5779714584350586, 0.30692189931869507, -0.025218568742275238), (0.5764222145080566, 0.2829776406288147, -0.0300606619566679), (0.6033065915107727, 0.38395166397094727, -0.01341336965560913), (0.6105219721794128, 0.33458057045936584, -0.020814448595046997), (0.6149483323097229, 0.30315911769866943, -0.027022460475564003), (0.618257462978363, 0.27771949768066406, -0.0317511148750782), (0.6190389394760132, 0.39520150423049927, -0.01807710900902748), (0.6364338994026184, 0.3554273843765259, -0.026993894949555397), (0.6464160084724426, 0.3292028605937958, -0.032946642488241196), (0.6531820297241211, 0.3069044053554535, -0.036974262446165085), (0.6313176155090332, 0.41249310970306396, -0.023380542173981667), (0.6502586007118225, 0.38390058279037476, -0.031144890934228897), (0.6613624095916748, 0.36499765515327454, -0.034044474363327026), (0.6697889566421509, 0.3472744822502136, -0.03597228601574898)]"
6,Open,Left,"[(0.5952329039573669, 0.4901217222213745, 1.8399755674636253e-07), (0.5720288157463074, 0.4616594910621643, -0.008091112598776817), (0.5555869936943054, 0.42278069257736206, -0.012890467420220375), (0.5441343188285828, 0.39369291067123413, -0.017319276928901672), (0.5311499834060669, 0.3749595582485199, -0.022107329219579697), (0.58644700050354, 0.3779325485229492, -0.010197211056947708), (0.5828798413276672, 0.3317151665687561, -0.018724974244832993), (0.5802265405654907, 0.3038598299026489, -0.02531050518155098), (0.5787826776504517, 0.280307799577713, -0.03021092899143696), (0.6054723262786865, 0.3799430727958679, -0.013636724092066288), (0.6125158667564392, 0.33145222067832947, -0.02114281617105007), (0.6169610023498535, 0.300667405128479, -0.02757609263062477), (0.6203216314315796, 0.27552923560142517, -0.03244539722800255), (0.6211537718772888, 0.3919524550437927, -0.01836768351495266), (0.6385195851325989, 0.35294458270072937, -0.02736496739089489), (0.6481105089187622, 0.32712456583976746, -0.0335136316716671), (0.6545409560203552, 0.30483201146125793, -0.037729278206825256), (0.6332643628120422, 0.4105413854122162, -0.023674529045820236), (0.651994526386261, 0.3826107680797577, -0.031809642910957336), (0.6626550555229187, 0.36319398880004883, -0.035005729645490646), (0.6707973480224609, 0.3444046080112457, -0.03715331107378006)]"
7,Open,Left,"[(0.5996474027633667, 0.4906478524208069, 1.820520054707231e-07), (0.5764229893684387, 0.4622485041618347, -0.009489184245467186), (0.5593661069869995, 0.4234127402305603, -0.015464204363524914), (0.5472294688224792, 0.39360490441322327, -0.02088131383061409), (0.5339652299880981, 0.3727446496486664, -0.02654484659433365), (0.5893953442573547, 0.3784552812576294, -0.01195055153220892), (0.5853272676467896, 0.33177152276039124, -0.0213380865752697), (0.5825009942054749, 0.3037436902523041, -0.028464246541261673), (0.5809825658798218, 0.27976226806640625, -0.03365258872509003), (0.6087148189544678, 0.38022828102111816, -0.014983450062572956), (0.6156359910964966, 0.3315606117248535, -0.023127272725105286), (0.6203352808952332, 0.3008102476596832, -0.029752308502793312), (0.6240808367729187, 0.27542412281036377, -0.034743789583444595), (0.6244412660598755, 0.3919048309326172, -0.019428495317697525), (0.6405893564224243, 0.3526856303215027, -0.02875521034002304), (0.6503441333770752, 0.32667016983032227, -0.03476365655660629), (0.657127857208252, 0.30384698510169983, -0.038883037865161896), (0.6368186473846436, 0.40980029106140137, -0.024596143513917923), (0.6546040177345276, 0.38113701343536377, -0.03267888352274895), (0.665510356426239, 0.3621933162212372, -0.03558150306344032), (0.6739031076431274, 0.34390825033187866, -0.03753631189465523)]"
8,Open,Left,"[(0.6047756671905518, 0.47631239891052246, 1.731538219473805e-07), (0.585640549659729, 0.44732919335365295, -0.008005321957170963), (0.573746919631958, 0.4103030562400818, -0.014113856479525566), (0.5678098797798157, 0.381471186876297, -0.019946208223700523), (0.5603368878364563, 0.3598565459251404, -0.026195906102657318), (0.6066082119941711, 0.3685409426689148, -0.01338521484285593), (0.6048433184623718, 0.32124266028404236, -0.023739516735076904), (0.6035951972007751, 0.2929522395133972, -0.03146107494831085), (0.6033633351325989, 0.26873356103897095, -0.03684000298380852), (0.6244304180145264, 0.3731306195259094, -0.017291802912950516), (0.6347450613975525, 0.32480359077453613, -0.0268725398927927), (0.6415867805480957, 0.2937241494655609, -0.034242793917655945), (0.6470475196838379, 0.2675777077674866, -0.03955111652612686), (0.6383995413780212, 0.38623133301734924, -0.02227831445634365), (0.6594883799552917, 0.3500586748123169, -0.03256591409444809), (0.6713082194328308, 0.3235185742378235, -0.03918894752860069), (0.6797267198562622, 0.30034393072128296, -0.043455131351947784), (0.6487139463424683, 0.40553018450737, -0.027771731838583946), (0.6709456443786621, 0.3795444071292877, -0.03643765300512314), (0.6836209297180176, 0.36022311449050903, -0.0396776981651783), (0.693120539188385, 0.3412211835384369, -0.0416911244392395)]"
9,Open,Left,"[(0.6889459490776062, 0.5392768383026123, 2.127267890728035e-07), (0.6878904104232788, 0.49804431200027466, -0.013880479149520397), (0.700912594795227, 0.4556122422218323, -0.021608881652355194), (0.7152232527732849, 0.4239081144332886, -0.027847543358802795), (0.7208884358406067, 0.3948515057563782, -0.03430932015180588), (0.7484359741210938, 0.4583747982978821, -0.01772567443549633), (0.7765596508979797, 0.42855072021484375, -0.028984492644667625), (0.7932724952697754, 0.4092188775539398, -0.03731822595000267), (0.808128297328949, 0.39238616824150085, -0.043321892619132996), (0.7596622109413147, 0.4821157157421112, -0.01968235708773136), (0.7948152422904968, 0.460321307182312, -0.029927395284175873), (0.8185703754425049, 0.4463064670562744, -0.03802992030978203), (0.8392061591148376, 0.43446505069732666, -0.044067710638046265), (0.7621157169342041, 0.5081230998039246, -0.02326751872897148), (0.79704749584198, 0.5039545893669128, -0.03557772934436798), (0.8212299346923828, 0.4998426139354706, -0.04362468048930168), (0.8419365882873535, 0.49438393115997314, -0.048811547458171844), (0.7584894895553589, 0.534464418888092, -0.02772805280983448), (0.7879431247711182, 0.5371608734130859, -0.039217863231897354), (0.8074461221694946, 0.5375884771347046, -0.044071659445762634), (0.8260092735290527, 0.535605251789093, -0.0470990352332592)]"
