,Gesture,Handedness,Landmarks
0,Open,Right,"[(0.3339003026485443, 0.34243255853652954, 3.36202248263362e-07), (0.3597201108932495, 0.31222742795944214, -0.013503317721188068), (0.3771606683731079, 0.2715335488319397, -0.021246006712317467), (0.3934241533279419, 0.24006438255310059, -0.028446083888411522), (0.4063023626804352, 0.21820731461048126, -0.035900771617889404), (0.3360268771648407, 0.21932761371135712, -0.014819561503827572), (0.33846530318260193, 0.165282741189003, -0.026091288775205612), (0.3395102024078369, 0.1327793002128601, -0.034656669944524765), (0.34035229682922363, 0.1068524420261383, -0.04006686061620712), (0.31532052159309387, 0.22338789701461792, -0.015567708760499954), (0.30881252884864807, 0.16600234806537628, -0.024289781227707863), (0.30479690432548523, 0.13003768026828766, -0.031327661126852036), (0.3017101585865021, 0.1038191169500351, -0.03583671525120735), (0.2995069622993469, 0.23714648187160492, -0.017874862998723984), (0.28663182258605957, 0.18839921057224274, -0.026100533083081245), (0.2794167697429657, 0.15661458671092987, -0.0323273241519928), (0.2746456563472748, 0.13158133625984192, -0.03618394210934639), (0.2878660261631012, 0.2589237093925476, -0.021456558257341385), (0.2724206745624542, 0.22935006022453308, -0.02927631139755249), (0.2632342576980591, 0.20855282247066498, -0.03230936452746391), (0.25666218996047974, 0.1902386099100113, -0.03346138447523117)]"
1,Open,Left,"[(0.7888103127479553, 0.38707366585731506, 2.5262153258154285e-07), (0.7686874270439148, 0.3565906882286072, -0.010922565124928951), (0.7545096278190613, 0.321251779794693, -0.019156457856297493), (0.7440080642700195, 0.29743120074272156, -0.026942046359181404), (0.7319778800010681, 0.28047165274620056, -0.03538104146718979), (0.7919170260429382, 0.2650810480117798, -0.016072815284132957), (0.795750081539154, 0.2137131690979004, -0.026944074779748917), (0.7995818853378296, 0.18267658352851868, -0.03534819185733795), (0.8039727210998535, 0.1573483645915985, -0.04156380146741867), (0.8144497871398926, 0.27028781175613403, -0.020072218030691147), (0.8289708495140076, 0.21624842286109924, -0.02911718189716339), (0.8387267589569092, 0.1826997995376587, -0.037478651851415634), (0.8467004299163818, 0.15558888018131256, -0.04371703043580055), (0.8321132063865662, 0.28773778676986694, -0.025358157232403755), (0.8540183305740356, 0.24217092990875244, -0.036101777106523514), (0.8681318759918213, 0.2143673300743103, -0.04494979977607727), (0.8792009353637695, 0.1901688575744629, -0.05126643180847168), (0.845342218875885, 0.3140089511871338, -0.03131375461816788), (0.8700558543205261, 0.2918050289154053, -0.041847530752420425), (0.8858135342597961, 0.27669310569763184, -0.046575456857681274), (0.8989511728286743, 0.2621402442455292, -0.04957332834601402)]"
2,Open,Right,"[(0.3443375825881958, 0.33904534578323364, 3.1146308288043656e-07), (0.3684314787387848, 0.3081684112548828, -0.012772148475050926), (0.38385826349258423, 0.2708938717842102, -0.020952532067894936), (0.39902418851852417, 0.24424411356449127, -0.029158279299736023), (0.41310882568359375, 0.22481878101825714, -0.037625253200531006), (0.34160342812538147, 0.21501389145851135, -0.013222936540842056), (0.3442743420600891, 0.16571223735809326, -0.025439277291297913), (0.3458503186702728, 0.1346243917942047, -0.03527785837650299), (0.3472869396209717, 0.1083006039261818, -0.04215848445892334), (0.32125940918922424, 0.21910397708415985, -0.0159254502505064), (0.30969640612602234, 0.16684798896312714, -0.025564780458807945), (0.3043394684791565, 0.133235365152359, -0.03359895199537277), (0.3006322979927063, 0.1066490039229393, -0.03925508260726929), (0.3063286542892456, 0.2352866232395172, -0.02042492665350437), (0.28714367747306824, 0.19356656074523926, -0.030682750046253204), (0.2767602801322937, 0.1650543063879013, -0.03838764503598213), (0.2695823907852173, 0.14066974818706512, -0.04341239854693413), (0.2965477705001831, 0.2613207995891571, -0.026176894083619118), (0.2748119533061981, 0.2413376271724701, -0.036621227860450745), (0.2610223889350891, 0.22563834488391876, -0.04127601906657219), (0.24967095255851746, 0.2102392017841339, -0.04369565099477768)]"
3,Open,Left,"[(0.7867335081100464, 0.38912367820739746, 2.675139683105954e-07), (0.7675949335098267, 0.3604658842086792, -0.01172697078436613), (0.753620445728302, 0.32737886905670166, -0.02078717015683651), (0.7432274222373962, 0.30603915452957153, -0.02926422841846943), (0.7309990525245667, 0.2919290065765381, -0.0384083054959774), (0.7891172766685486, 0.27033886313438416, -0.017716575413942337), (0.792930006980896, 0.21921706199645996, -0.028779730200767517), (0.7970907688140869, 0.1882079541683197, -0.037151627242565155), (0.8017658591270447, 0.1630973517894745, -0.0432792492210865), (0.8118176460266113, 0.27553877234458923, -0.021564163267612457), (0.8270792365074158, 0.22117558121681213, -0.030620189383625984), (0.8374748229980469, 0.1876026839017868, -0.0387718603014946), (0.8463618159294128, 0.16090483963489532, -0.04487333446741104), (0.8291385173797607, 0.29314756393432617, -0.02668682113289833), (0.8520021438598633, 0.24703510105609894, -0.03730912506580353), (0.8664675951004028, 0.22012139856815338, -0.04591650143265724), (0.8781166076660156, 0.19744323194026947, -0.05209486931562424), (0.841951847076416, 0.31962427496910095, -0.032574355602264404), (0.8669441938400269, 0.29821792244911194, -0.04291357472538948), (0.8831769227981567, 0.2837521731853485, -0.04741811379790306), (0.896800696849823, 0.26979634165763855, -0.050286222249269485)]"
4,Open,Right,"[(0.34099122881889343, 0.3403359353542328, 3.304661504444084e-07), (0.36654534935951233, 0.3095307946205139, -0.013968342915177345), (0.3826175630092621, 0.2714296281337738, -0.022436941042542458), (0.3984873592853546, 0.24285010993480682, -0.030364060774445534), (0.4124879240989685, 0.22236588597297668, -0.038499802350997925), (0.34074676036834717, 0.22029130160808563, -0.01583075523376465), (0.34364446997642517, 0.16898366808891296, -0.02795625850558281), (0.34525376558303833, 0.1371694803237915, -0.03709971904754639), (0.34712520241737366, 0.11120916157960892, -0.04314140975475311), (0.3195559084415436, 0.22417867183685303, -0.01680127903819084), (0.3107646107673645, 0.17031428217887878, -0.026216872036457062), (0.3062157928943634, 0.1356499344110489, -0.03369119390845299), (0.30343106389045715, 0.10888349264860153, -0.03874919191002846), (0.30382728576660156, 0.2389046549797058, -0.019405877217650414), (0.2878270149230957, 0.19536751508712769, -0.028727710247039795), (0.2793531119823456, 0.16603952646255493, -0.035712748765945435), (0.2740945518016815, 0.1411554217338562, -0.04028860479593277), (0.2934848964214325, 0.2622738182544708, -0.02326779253780842), (0.27463480830192566, 0.24027714133262634, -0.03220741078257561), (0.2635534107685089, 0.22362291812896729, -0.03605654090642929), (0.25534844398498535, 0.2074599713087082, -0.03797796741127968)]"
5,Open,Left,"[(0.7819468379020691, 0.39017191529273987, 2.723498937484692e-07), (0.7622666358947754, 0.361255943775177, -0.012563185766339302), (0.7478650808334351, 0.3267773389816284, -0.021822722628712654), (0.7392839789390564, 0.3037811517715454, -0.03023231402039528), (0.7294303774833679, 0.28745874762535095, -0.03922967240214348), (0.7851511240005493, 0.26835986971855164, -0.018657095730304718), (0.7893271446228027, 0.21767157316207886, -0.030106136575341225), (0.79341059923172, 0.18725541234016418, -0.03888022154569626), (0.7978481650352478, 0.16263310611248016, -0.045278772711753845), (0.8080987930297852, 0.2744717001914978, -0.022237863391637802), (0.8235930800437927, 0.22040951251983643, -0.03172849863767624), (0.8337120413780212, 0.18689969182014465, -0.040391601622104645), (0.8422762751579285, 0.16026417911052704, -0.046863991767168045), (0.8252658247947693, 0.292687326669693, -0.027172215282917023), (0.8471581935882568, 0.2468063235282898, -0.038157492876052856), (0.8606683015823364, 0.2191362977027893, -0.047368261963129044), (0.8714476823806763, 0.19629541039466858, -0.05399008467793465), (0.8378059267997742, 0.31947168707847595, -0.03292694315314293), (0.8618028163909912, 0.2969963550567627, -0.043865468353033066), (0.8770788908004761, 0.28185492753982544, -0.04897564277052879), (0.889833390712738, 0.26791051030158997, -0.05222812294960022)]"
6,Open,Right,"[(0.34432148933410645, 0.33876892924308777, 3.3554485412423674e-07), (0.36940765380859375, 0.3079782724380493, -0.013610221445560455), (0.385972797870636, 0.26889505982398987, -0.02117282524704933), (0.40153831243515015, 0.23931746184825897, -0.028343649581074715), (0.41536426544189453, 0.21932514011859894, -0.035678230226039886), (0.34379222989082336, 0.21931198239326477, -0.01314335037022829), (0.3475382924079895, 0.1681985855102539, -0.024349408224225044), (0.3494172990322113, 0.1369069516658783, -0.033291611820459366), (0.35114896297454834, 0.11100199818611145, -0.03926728293299675), (0.3236793577671051, 0.22222426533699036, -0.014201027341187), (0.3167248070240021, 0.16889123618602753, -0.02258840948343277), (0.3129240572452545, 0.13437330722808838, -0.029838290065526962), (0.3104705810546875, 0.10755383968353271, -0.03477941453456879), (0.3080805242061615, 0.23574276268482208, -0.01703215390443802), (0.29281988739967346, 0.1915719360113144, -0.02546808123588562), (0.28470537066459656, 0.1622355878353119, -0.03204239159822464), (0.2797749638557434, 0.13762825727462769, -0.036390520632267), (0.2967427670955658, 0.258738249540329, -0.02122044749557972), (0.27828270196914673, 0.23663368821144104, -0.029428580775856972), (0.26748669147491455, 0.21936975419521332, -0.032715246081352234), (0.2596855163574219, 0.20253172516822815, -0.03427756577730179)]"
7,Open,Left,"[(0.7793734073638916, 0.39083054661750793, 2.659086817402567e-07), (0.7599731087684631, 0.36165934801101685, -0.012672407552599907), (0.7468176484107971, 0.32696107029914856, -0.021881360560655594), (0.7385481595993042, 0.3034696877002716, -0.030305908992886543), (0.7287047505378723, 0.28524401783943176, -0.03932138904929161), (0.7821653485298157, 0.2697378396987915, -0.018252531066536903), (0.7864242792129517, 0.21925069391727448, -0.029843289405107498), (0.7905634641647339, 0.1886938214302063, -0.03881024941802025), (0.7952113151550293, 0.163230299949646, -0.04540150240063667), (0.80470210313797, 0.2759431004524231, -0.021785570308566093), (0.820645809173584, 0.22235599160194397, -0.03153221309185028), (0.8309149742126465, 0.18879278004169464, -0.04037865996360779), (0.8397695422172546, 0.16103212535381317, -0.046975988894701004), (0.8214781880378723, 0.29394155740737915, -0.02671254612505436), (0.8438262939453125, 0.2490534782409668, -0.03793086111545563), (0.8576112389564514, 0.22155159711837769, -0.046921197324991226), (0.8687220811843872, 0.19763752818107605, -0.05336887389421463), (0.8336710333824158, 0.32035738229751587, -0.0324854739010334), (0.8575827479362488, 0.29867345094680786, -0.04350702092051506), (0.8729183077812195, 0.28397345542907715, -0.048350147902965546), (0.8859238624572754, 0.2695862948894501, -0.05144290253520012)]"
8,Open,Right,"[(0.34257084131240845, 0.3438180387020111, 3.4206445320705825e-07), (0.36661213636398315, 0.31297439336776733, -0.014021460898220539), (0.38240379095077515, 0.27432653307914734, -0.022621359676122665), (0.39805442094802856, 0.2439987063407898, -0.030686790123581886), (0.41139277815818787, 0.22285740077495575, -0.03898365795612335), (0.3405647873878479, 0.22511781752109528, -0.01559032779186964), (0.34406259655952454, 0.17187760770320892, -0.02729630656540394), (0.3458355963230133, 0.13983893394470215, -0.03644279018044472), (0.34720826148986816, 0.1130807101726532, -0.04240093752741814), (0.32060831785202026, 0.22903187572956085, -0.016098055988550186), (0.3154706656932831, 0.17512419819831848, -0.024989617988467216), (0.3121199905872345, 0.13969875872135162, -0.03232752904295921), (0.30958208441734314, 0.111872598528862, -0.03741247206926346), (0.3049989342689514, 0.24202430248260498, -0.01819874718785286), (0.2929195165634155, 0.19662275910377502, -0.026321955025196075), (0.28638818860054016, 0.16628342866897583, -0.03246094658970833), (0.28190234303474426, 0.14115309715270996, -0.03658048436045647), (0.2935536801815033, 0.26292112469673157, -0.02165706269443035), (0.27832961082458496, 0.23648934066295624, -0.029051514342427254), (0.26960620284080505, 0.21675269305706024, -0.03195561468601227), (0.26318103075027466, 0.19873777031898499, -0.0333513468503952)]"
9,Open,Left,"[(0.7750414609909058, 0.3927503824234009, 2.6240985562253627e-07), (0.7554119825363159, 0.3627775311470032, -0.01247833389788866), (0.7420327067375183, 0.329321026802063, -0.021903907880187035), (0.7344290018081665, 0.3067372739315033, -0.030581500381231308), (0.7262682914733887, 0.28895875811576843, -0.03984569013118744), (0.7799772620201111, 0.27324551343917847, -0.018589626997709274), (0.7841590046882629, 0.22314290702342987, -0.03047502040863037), (0.7881852984428406, 0.19221536815166473, -0.039698705077171326), (0.792690098285675, 0.16641315817832947, -0.046487584710121155), (0.8021889328956604, 0.28010818362236023, -0.022303009405732155), (0.8184983730316162, 0.22751155495643616, -0.032089754939079285), (0.8289168477058411, 0.19452163577079773, -0.040866900235414505), (0.8378459215164185, 0.16756251454353333, -0.047457192093133926), (0.8184385895729065, 0.2986341714859009, -0.027382589876651764), (0.8408729434013367, 0.2541810870170593, -0.03865562379360199), (0.8551647663116455, 0.22690516710281372, -0.04752134904265404), (0.8669661283493042, 0.20362308621406555, -0.05390286073088646), (0.8298879861831665, 0.325580894947052, -0.03329329565167427), (0.8534067869186401, 0.30466383695602417, -0.0445198193192482), (0.8688552975654602, 0.2905958890914917, -0.049348458647727966), (0.8821578621864319, 0.2769577205181122, -0.05237245932221413)]"
